               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.055854,            0.027034,           0.0025958,             0.55762,             0.67031,             0.59972,             0.34654,            0.060874,            0.013535,           0.0018768,           0.0073703,           0.0073703,           0.0073703
                  36,             0.05778,            0.025167,           0.0029032,             0.68177,             0.54378,             0.59325,             0.32977,            0.060659,            0.013565,           0.0019455,            0.007293,            0.007293,            0.007293
                  37,            0.052239,            0.027915,           0.0027679,             0.52618,             0.58535,             0.56922,             0.29378,            0.061982,            0.014664,           0.0017418,           0.0072156,           0.0072156,           0.0072156
                  38,            0.055463,            0.023395,           0.0026032,             0.52417,             0.75175,             0.59407,             0.35012,            0.053458,            0.013584,           0.0018594,           0.0071383,           0.0071383,           0.0071383
                  39,            0.051525,            0.024821,           0.0024787,             0.68798,             0.63517,             0.67906,               0.363,              0.0566,            0.013531,           0.0018382,           0.0070609,           0.0070609,           0.0070609
                  40,            0.054422,             0.02669,           0.0029521,              0.5354,             0.73253,             0.56522,             0.33412,            0.060409,            0.013765,           0.0017733,           0.0069836,           0.0069836,           0.0069836
                  41,            0.055313,            0.022855,           0.0023493,             0.54563,             0.71169,              0.6262,             0.34795,            0.058571,            0.013063,           0.0018605,           0.0069063,           0.0069063,           0.0069063
                  42,            0.054339,            0.024458,           0.0027269,             0.66172,             0.70128,             0.67706,              0.3691,            0.053195,            0.013414,           0.0019567,           0.0068289,           0.0068289,           0.0068289
                  43,              0.0483,            0.026894,           0.0028477,             0.55576,              0.7006,             0.64659,             0.30706,            0.058118,            0.013338,           0.0018379,           0.0067516,           0.0067516,           0.0067516
                  44,            0.053493,            0.021554,           0.0022241,             0.58845,             0.72183,             0.70077,             0.38526,            0.051976,             0.01297,           0.0018411,           0.0066742,           0.0066742,           0.0066742
