               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11816,             0.03919,            0.040834,           0.0026971,             0.30106,            0.015689,           0.0037656,             0.11271,            0.026283,            0.041693,              0.0937,              0.0007,              0.0007
                   1,             0.10964,            0.041925,            0.037011,           0.0027059,             0.32067,             0.03363,           0.0074655,             0.10382,            0.024803,            0.034781,            0.086488,           0.0014884,           0.0014884
                   2,             0.10047,            0.043548,            0.031319,             0.90152,            0.077963,              0.1544,             0.08144,            0.093452,            0.025126,            0.028773,            0.079264,           0.0022644,           0.0022644
                   3,            0.094581,            0.041704,            0.025948,             0.94831,             0.28494,             0.31287,             0.13535,            0.092601,            0.024158,            0.021449,            0.072028,           0.0030281,           0.0030281
                   4,            0.093982,            0.039425,            0.019734,              0.8825,             0.26797,             0.26481,             0.10502,            0.098436,            0.024227,            0.017579,            0.064779,           0.0037793,           0.0037793
                   5,            0.090851,            0.035475,            0.015458,             0.96063,             0.30065,             0.31505,             0.17898,            0.090639,            0.023333,            0.013518,            0.057518,           0.0045182,           0.0045182
                   6,            0.088046,            0.036217,            0.012083,             0.90083,              0.2549,             0.27745,             0.13951,            0.090844,            0.022987,            0.011012,            0.050245,           0.0052448,           0.0052448
                   7,            0.087899,            0.037427,            0.010086,             0.89319,             0.24183,             0.26516,             0.14813,            0.090166,            0.022554,           0.0090952,            0.042959,           0.0059589,           0.0059589
                   8,            0.091154,              0.0339,           0.0084072,             0.90127,             0.28105,             0.28073,             0.15635,            0.090571,            0.020189,           0.0071852,            0.035661,           0.0066607,           0.0066607
                   9,            0.083646,            0.034348,           0.0067121,             0.89032,             0.26658,             0.25072,            0.092273,            0.088951,            0.021578,           0.0064419,             0.02835,           0.0073501,           0.0073501
                  10,            0.081066,            0.036674,            0.006707,             0.86313,             0.24183,             0.26143,             0.10231,             0.08595,            0.021133,           0.0053827,            0.021027,           0.0080271,           0.0080271
                  11,            0.083222,            0.032165,           0.0050575,             0.89835,             0.28105,             0.28786,            0.093961,            0.087017,            0.018681,           0.0050428,            0.013692,           0.0086918,           0.0086918
                  12,            0.084652,            0.029527,           0.0040876,              0.5321,             0.26068,             0.29634,             0.14326,            0.090388,            0.017427,           0.0048423,           0.0090719,           0.0090719,           0.0090719
                  13,            0.080696,            0.030395,           0.0050952,             0.26242,             0.48028,             0.32796,             0.10464,            0.082915,            0.018742,           0.0046477,           0.0090719,           0.0090719,           0.0090719
                  14,            0.078576,              0.0293,           0.0044571,             0.23953,             0.40791,             0.28161,             0.13783,            0.081747,            0.017309,           0.0048473,           0.0089945,           0.0089945,           0.0089945
                  15,            0.073993,            0.029864,           0.0038659,             0.23874,             0.36921,             0.30227,             0.17163,            0.078898,            0.016212,           0.0046713,           0.0089172,           0.0089172,           0.0089172
                  16,            0.075618,             0.02771,           0.0041995,             0.67013,             0.45587,             0.35837,             0.20864,            0.074897,            0.016961,           0.0045085,           0.0088398,           0.0088398,           0.0088398
                  17,            0.070203,            0.028494,           0.0034461,             0.26094,              0.5293,             0.32464,             0.15727,            0.076169,            0.016213,           0.0044226,           0.0087625,           0.0087625,           0.0087625
